address,area,Sum of avg_order_value,Sum of customer_id,customer_name,customer_segment,email,Sum of phone,Sum of pincode,Year,Quarter,Month,Day,Sum of total_orders
"00
Sahota Circle
Shivpuri 170582",Warangal,991.94,22047134,Ubika Shukla,Inactive,malhotrajonathan@example.org,912205703998,40280,2024,Qtr 4,October,26,20
"00
Talwar Path
Silchar 399086",Bahraich,1034.23,23126657,Ekiya Sekhon,Premium,ochakraborty@example.org,910822554720,52603,2023,Qtr 2,April,23,1
"00, Varma Zila, Amaravati 118550",Parbhani,1908.42,49833888,Harini Raja,Inactive,ekavir40@example.net,913627365202,925782,2024,Qtr 1,March,31,3
"00/26, Chandra Chowk, Uluberia 117916",Srinagar,1657.84,91868185,Raghav Sathe,New,ekaniparmer@example.org,919502350382,517675,2023,Qtr 4,October,15,1
"00/455, Chakraborty Road, Jammu 801712",Sirsa,305.65,52215833,Lipika Parmer,Regular,gavinprabhakar@example.net,910213519763,414814,2024,Qtr 3,September,27,5
"00/569
Hayer Street, Srinagar 199551",Mysore,1106.22,72667140,Neelima Raj,Premium,benharrison@example.net,913425966061,827748,2023,Qtr 3,July,30,9
"004
Hayre Circle
Anand 997941",Ambattur,237.42,38875754,Yash Mitter,Premium,falaksrinivasan@example.net,916294516611,109408,2023,Qtr 3,August,12,9
"008
Bhattacharyya Road, Dewas 414364",Gurgaon,664.01,72942753,Alka Pal,Regular,fvig@example.com,911883350065,484481,2024,Qtr 3,September,9,5
"009
Loyal Marg
Udaipur 582796",Gaya,969.51,6081270,Caleb Sane,Inactive,diptagour@example.net,915268329172,603031,2024,Qtr 3,August,17,15
"01
Bhargava Circle, Chandrapur-262870",Purnia,1146.85,40593638,Wridesh Ratti,Premium,bgrewal@example.net,917809813124,432260,2023,Qtr 4,December,12,18
"01
Chaudhry Circle, Saharanpur 438058",Jalna,1819.01,6982488,Vanya Sachdev,New,shivani04@example.com,912780123232,584733,2024,Qtr 1,January,11,4
